,time,name,totaltweets,description,hashtags,user_mentions,favorite_count,lang,following,followers_count,retweet_count,retweeted,text,location,text Positive Sentiment Score,text Negative Sentiment Score,is_viral,tweet_length,friends_count,hashtag_count,link_count,word_count,avg_length_of_words
2894,2021-02-02 08:06:07+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'MGongadze', 'name': 'mgongadze', 'id': 132737162, 'id_str': '132737162', 'indices': [3, 13]}, {'screen_name': 'DmytroKuleba', 'name': 'Dmytro Kuleba', 'id': 2885493519, 'id_str': '2885493519', 'indices': [32, 45]}, {'screen_name': 'ABlinken', 'name': 'Antony Blinken', 'id': 635716830, 'id_str': '635716830', 'indices': [56, 65]}]",0,en,288,57314,15,False,"RT @MGongadze: In the call with @DmytroKuleba Secretary @ABlinken highlighted the importance of Ukraine ""maintaining progress on fighting c…","Kyiv, Ukraine",0.223,0.105,0,140,288,0,0,19,6.421052631578948
2895,2021-02-01 14:08:56+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],3,en,288,57314,5,False,"2/2 Now the new head of SAPO will be selected soon, while proper attention to the competition is crucial to keep th… https://t.co/H4sqPnkNMW","Kyiv, Ukraine",0.0,0.0,0,140,288,0,1,23,5.130434782608695
2896,2021-02-01 14:08:55+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],3,en,288,57314,5,False,1/2 We've seen enough to ascertain how important is integrity of chief anticorruption prosecutor for effective perf… https://t.co/9gA6juR3PE,"Kyiv, Ukraine",0.333,0.0,0,140,288,0,1,18,6.833333333333333
2897,2021-01-31 14:36:29+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],3,en,288,57314,1,False,Putin needs sth to distract internal indignation. Not a coincidence that his talking heads hinted at further offens… https://t.co/gveV0XURGj,"Kyiv, Ukraine",0.0,0.259,0,140,288,0,1,19,6.421052631578948
2898,2021-01-31 14:33:27+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'PACE_News', 'name': 'PACE', 'id': 432396256, 'id_str': '432396256', 'indices': [64, 74]}]",55,en,288,57314,22,False,"Brutal police is a pillar of an autocratic regime. 
I wonder if @PACE_News members who voted to confirm credentials… https://t.co/fFKjWJMVdv","Kyiv, Ukraine",0.0,0.194,0,140,288,0,1,20,6.0
2899,2021-01-29 12:41:25+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],1,en,288,57314,1,False,3/3 Ukraine must seek to defend itself militarily while also engaging in an internal democratic transformation. Onl… https://t.co/yep0Fm7iWG,"Kyiv, Ukraine",0.124,0.0,0,140,288,0,1,18,6.833333333333333
2900,2021-01-29 12:41:24+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],0,en,288,57314,1,False,2/3 E.g. last year a high level defense official was disclosed as a long-term FSB agent. Or major TV news channels… https://t.co/gkHZ9OSJZj,"Kyiv, Ukraine",0.073,0.0,0,139,288,0,1,22,5.363636363636363
2901,2021-01-29 12:41:24+00:00,Olena Halushka,5888,Board member at @AntAC_ua,"[{'text': 'RussianAggression', 'indices': [45, 63]}, {'text': 'Ukraine', 'indices': [104, 112]}]",[],2,en,288,57314,2,False,1/3 No sensible observer would question that #RussianAggression represents the most immediate threat to #Ukraine. N… https://t.co/s7HAdImt4p,"Kyiv, Ukraine",0.0,0.282,0,140,288,2,1,17,7.294117647058823
2902,2021-01-29 09:34:59+00:00,Olena Halushka,5888,Board member at @AntAC_ua,"[{'text': 'SBU', 'indices': [51, 55]}]",[],6,en,288,57314,5,False,"In addition to opening the way for a comprehensive #SBU reform, Rada 
deprived it of powers in fighting against cor… https://t.co/xbBuppPXYX","Kyiv, Ukraine",0.081,0.228,0,140,288,1,1,21,5.666666666666667
2903,2021-01-29 07:57:44+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'EuromaidanPress', 'name': 'Euromaidan Press', 'id': 2595088842, 'id_str': '2595088842', 'indices': [3, 19]}]",0,en,288,57314,10,False,"RT @EuromaidanPress: As the seventh annniversary of Ukraine's 2014 Revolution of Dignity approaches, the country's post-revolutionary refor…","Kyiv, Ukraine",0.144,0.0,0,140,288,0,0,17,7.294117647058823
2904,2021-01-28 18:22:39+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'ANTAC_ua', 'name': 'AntAC', 'id': 1391787330, 'id_str': '1391787330', 'indices': [3, 12]}]",0,en,288,57314,6,False,"RT @ANTAC_ua: Of course, the voted draft law in not ideal. The MPs still need to add proper norms securing human rights, mechanisms of civi…","Kyiv, Ukraine",0.082,0.099,0,140,288,0,0,25,4.64
2905,2021-01-28 18:22:07+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'ANTAC_ua', 'name': 'AntAC', 'id': 1391787330, 'id_str': '1391787330', 'indices': [3, 12]}]",0,en,288,57314,33,False,RT @ANTAC_ua: Historical day! Rada just voted for the law on SBU reform in the first reading! For the first time since Ukrainian independen…,"Kyiv, Ukraine",0.0,0.0,0,140,288,0,0,24,4.875
2906,2021-01-28 18:19:50+00:00,Olena Halushka,5888,Board member at @AntAC_ua,"[{'text': 'ганьбаОАСК', 'indices': [98, 109]}]",[],9,en,288,57314,3,False,Our beloved District Administrative Court of Kyiv cancelled Cabinet decree on new UA orthography. #ганьбаОАСК (=… https://t.co/QehYkEghal,"Kyiv, Ukraine",0.163,0.099,0,137,288,1,1,17,7.117647058823529
2907,2021-01-28 18:02:42+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'olekslap', 'name': 'Aleksandr Lapko', 'id': 848112786215505920, 'id_str': '848112786215505920', 'indices': [0, 9]}]",1,en,288,57314,0,False,"@olekslap I provided my feedback on the a/c part of the ANP for numerous times w/ pleasure. 

The difference btw tw… https://t.co/UvQ4iqHz8q","Kyiv, Ukraine",0.156,0.0,0,140,288,0,1,22,5.318181818181818
2908,2021-01-28 16:32:08+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'ACEurasia', 'name': 'Eurasia Center', 'id': 1219676953, 'id_str': '1219676953', 'indices': [3, 13]}]",0,en,288,57314,8,False,"RT @ACEurasia: 🇺🇦 ""It is impossible to overstate the significance of getting judicial reform right. The failure to deliver proper rule of l…","Kyiv, Ukraine",0.08,0.125,0,140,288,0,0,23,5.130434782608695
2909,2021-01-28 16:31:57+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'Biz_Ukraine_Mag', 'name': 'Business Ukraine mag', 'id': 3301937067, 'id_str': '3301937067', 'indices': [3, 19]}, {'screen_name': 'OlenaHalushka', 'name': 'Olena Halushka', 'id': 2749315621, 'id_str': '2749315621', 'indices': [117, 131]}]",0,en,288,57314,11,False,"RT @Biz_Ukraine_Mag: Whats the recipe for successful reform in Ukraine?

Rule of law, rule of law, rule of law, says @OlenaHalushka","Kyiv, Ukraine",0.16,0.0,0,131,288,0,0,21,5.238095238095238
2910,2021-01-28 16:31:32+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'motytchak', 'name': 'Roman Motychak 🇺🇦', 'id': 15719868, 'id_str': '15719868', 'indices': [0, 10]}, {'screen_name': 'WaschukCanUA', 'name': 'Roman Waschuk 🌻', 'id': 2827085194, 'id_str': '2827085194', 'indices': [11, 24]}, {'screen_name': 'yermolenko_v', 'name': 'Volodymyr Yermolenko', 'id': 3833059037, 'id_str': '3833059037', 'indices': [25, 38]}, {'screen_name': 'sumlenny', 'name': 'Sergej Sumlenny', 'id': 162063442, 'id_str': '162063442', 'indices': [39, 48]}, {'screen_name': 'AlexKokcharov', 'name': 'Alex Kokcharov', 'id': 2420267570, 'id_str': '2420267570', 'indices': [49, 63]}, {'screen_name': 'dub_chek', 'name': 'Dubinsky exposed', 'id': 710786362644033537, 'id_str': '710786362644033537', 'indices': [64, 73]}]",0,en,288,57314,0,False,@motytchak @WaschukCanUA @yermolenko_v @sumlenny @AlexKokcharov @dub_chek When I google Dubinskyi &amp; AntAC I see lot… https://t.co/RW1aMlknOx,"Kyiv, Ukraine",0.0,0.0,0,144,288,0,1,16,8.0625
2911,2021-01-28 16:05:45+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'motytchak', 'name': 'Roman Motychak 🇺🇦', 'id': 15719868, 'id_str': '15719868', 'indices': [0, 10]}, {'screen_name': 'WaschukCanUA', 'name': 'Roman Waschuk 🌻', 'id': 2827085194, 'id_str': '2827085194', 'indices': [11, 24]}, {'screen_name': 'yermolenko_v', 'name': 'Volodymyr Yermolenko', 'id': 3833059037, 'id_str': '3833059037', 'indices': [25, 38]}, {'screen_name': 'sumlenny', 'name': 'Sergej Sumlenny', 'id': 162063442, 'id_str': '162063442', 'indices': [39, 48]}, {'screen_name': 'AlexKokcharov', 'name': 'Alex Kokcharov', 'id': 2420267570, 'id_str': '2420267570', 'indices': [49, 63]}]",0,en,288,57314,0,False,@motytchak @WaschukCanUA @yermolenko_v @sumlenny @AlexKokcharov Excuse me? :) We allowed Dubinsky to meddle into the US elections?,"Kyiv, Ukraine",0.237,0.0,0,130,288,0,0,17,6.705882352941177
2912,2021-01-28 16:04:26+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'motytchak', 'name': 'Roman Motychak 🇺🇦', 'id': 15719868, 'id_str': '15719868', 'indices': [0, 10]}, {'screen_name': 'WaschukCanUA', 'name': 'Roman Waschuk 🌻', 'id': 2827085194, 'id_str': '2827085194', 'indices': [11, 24]}, {'screen_name': 'yermolenko_v', 'name': 'Volodymyr Yermolenko', 'id': 3833059037, 'id_str': '3833059037', 'indices': [25, 38]}, {'screen_name': 'sumlenny', 'name': 'Sergej Sumlenny', 'id': 162063442, 'id_str': '162063442', 'indices': [39, 48]}, {'screen_name': 'AlexKokcharov', 'name': 'Alex Kokcharov', 'id': 2420267570, 'id_str': '2420267570', 'indices': [49, 63]}]",0,en,288,57314,0,False,"@motytchak @WaschukCanUA @yermolenko_v @sumlenny @AlexKokcharov Again, I'll be grateful for any link/ quote where I… https://t.co/nL0rPaXqmd","Kyiv, Ukraine",0.167,0.0,0,140,288,0,1,16,7.8125
2913,2021-01-28 15:57:45+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'motytchak', 'name': 'Roman Motychak 🇺🇦', 'id': 15719868, 'id_str': '15719868', 'indices': [0, 10]}, {'screen_name': 'WaschukCanUA', 'name': 'Roman Waschuk 🌻', 'id': 2827085194, 'id_str': '2827085194', 'indices': [11, 24]}, {'screen_name': 'yermolenko_v', 'name': 'Volodymyr Yermolenko', 'id': 3833059037, 'id_str': '3833059037', 'indices': [25, 38]}, {'screen_name': 'sumlenny', 'name': 'Sergej Sumlenny', 'id': 162063442, 'id_str': '162063442', 'indices': [39, 48]}, {'screen_name': 'AlexKokcharov', 'name': 'Alex Kokcharov', 'id': 2420267570, 'id_str': '2420267570', 'indices': [49, 63]}]",0,en,288,57314,0,False,"@motytchak @WaschukCanUA @yermolenko_v @sumlenny @AlexKokcharov I am totally confused.

""Olena's article is very go… https://t.co/2Q7knS0edo","Kyiv, Ukraine",0.0,0.166,0,140,288,0,1,15,8.333333333333334
2914,2021-01-28 15:35:38+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'motytchak', 'name': 'Roman Motychak 🇺🇦', 'id': 15719868, 'id_str': '15719868', 'indices': [0, 10]}, {'screen_name': 'WaschukCanUA', 'name': 'Roman Waschuk 🌻', 'id': 2827085194, 'id_str': '2827085194', 'indices': [11, 24]}, {'screen_name': 'yermolenko_v', 'name': 'Volodymyr Yermolenko', 'id': 3833059037, 'id_str': '3833059037', 'indices': [25, 38]}, {'screen_name': 'sumlenny', 'name': 'Sergej Sumlenny', 'id': 162063442, 'id_str': '162063442', 'indices': [39, 48]}, {'screen_name': 'AlexKokcharov', 'name': 'Alex Kokcharov', 'id': 2420267570, 'id_str': '2420267570', 'indices': [49, 63]}]",0,en,288,57314,0,False,@motytchak @WaschukCanUA @yermolenko_v @sumlenny @AlexKokcharov Ask Dubinskyi ;) otherwise why would he spend so mu… https://t.co/240Ri5NB8y,"Kyiv, Ukraine",0.112,0.0,0,140,288,0,1,16,7.8125
2915,2021-01-28 15:35:30+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'motytchak', 'name': 'Roman Motychak 🇺🇦', 'id': 15719868, 'id_str': '15719868', 'indices': [0, 10]}, {'screen_name': 'WaschukCanUA', 'name': 'Roman Waschuk 🌻', 'id': 2827085194, 'id_str': '2827085194', 'indices': [11, 24]}, {'screen_name': 'yermolenko_v', 'name': 'Volodymyr Yermolenko', 'id': 3833059037, 'id_str': '3833059037', 'indices': [25, 38]}, {'screen_name': 'sumlenny', 'name': 'Sergej Sumlenny', 'id': 162063442, 'id_str': '162063442', 'indices': [39, 48]}, {'screen_name': 'AlexKokcharov', 'name': 'Alex Kokcharov', 'id': 2420267570, 'id_str': '2420267570', 'indices': [49, 63]}]",1,en,288,57314,0,False,@motytchak @WaschukCanUA @yermolenko_v @sumlenny @AlexKokcharov Why isn't SBU looking into the origins of money for… https://t.co/9tGjruxBt4,"Kyiv, Ukraine",0.0,0.0,0,140,288,0,1,16,7.8125
2916,2021-01-28 15:35:01+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'motytchak', 'name': 'Roman Motychak 🇺🇦', 'id': 15719868, 'id_str': '15719868', 'indices': [0, 10]}, {'screen_name': 'WaschukCanUA', 'name': 'Roman Waschuk 🌻', 'id': 2827085194, 'id_str': '2827085194', 'indices': [11, 24]}, {'screen_name': 'yermolenko_v', 'name': 'Volodymyr Yermolenko', 'id': 3833059037, 'id_str': '3833059037', 'indices': [25, 38]}, {'screen_name': 'sumlenny', 'name': 'Sergej Sumlenny', 'id': 162063442, 'id_str': '162063442', 'indices': [39, 48]}, {'screen_name': 'AlexKokcharov', 'name': 'Alex Kokcharov', 'id': 2420267570, 'id_str': '2420267570', 'indices': [49, 63]}]",0,en,288,57314,0,False,"@motytchak @WaschukCanUA @yermolenko_v @sumlenny @AlexKokcharov Yes, I consider corruption to be a weapon of Russia… https://t.co/XTuzVYPBeB","Kyiv, Ukraine",0.16,0.13,0,140,288,0,1,16,7.8125
2917,2021-01-28 15:34:41+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'motytchak', 'name': 'Roman Motychak 🇺🇦', 'id': 15719868, 'id_str': '15719868', 'indices': [0, 10]}, {'screen_name': 'WaschukCanUA', 'name': 'Roman Waschuk 🌻', 'id': 2827085194, 'id_str': '2827085194', 'indices': [11, 24]}, {'screen_name': 'yermolenko_v', 'name': 'Volodymyr Yermolenko', 'id': 3833059037, 'id_str': '3833059037', 'indices': [25, 38]}, {'screen_name': 'sumlenny', 'name': 'Sergej Sumlenny', 'id': 162063442, 'id_str': '162063442', 'indices': [39, 48]}, {'screen_name': 'AlexKokcharov', 'name': 'Alex Kokcharov', 'id': 2420267570, 'id_str': '2420267570', 'indices': [49, 63]}]",0,en,288,57314,0,False,@motytchak @WaschukCanUA @yermolenko_v @sumlenny @AlexKokcharov to everything which was built after Maydan (far bey… https://t.co/cOfb21ZyHZ,"Kyiv, Ukraine",0.0,0.0,0,140,288,0,1,15,8.4
2918,2021-01-28 15:33:10+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'motytchak', 'name': 'Roman Motychak 🇺🇦', 'id': 15719868, 'id_str': '15719868', 'indices': [0, 10]}, {'screen_name': 'WaschukCanUA', 'name': 'Roman Waschuk 🌻', 'id': 2827085194, 'id_str': '2827085194', 'indices': [11, 24]}, {'screen_name': 'yermolenko_v', 'name': 'Volodymyr Yermolenko', 'id': 3833059037, 'id_str': '3833059037', 'indices': [25, 38]}, {'screen_name': 'sumlenny', 'name': 'Sergej Sumlenny', 'id': 162063442, 'id_str': '162063442', 'indices': [39, 48]}, {'screen_name': 'AlexKokcharov', 'name': 'Alex Kokcharov', 'id': 2420267570, 'id_str': '2420267570', 'indices': [49, 63]}]",0,en,288,57314,0,False,"@motytchak @WaschukCanUA @yermolenko_v @sumlenny @AlexKokcharov Have you read the article? Yes, I speak both ab fig… https://t.co/oXVSrbZjeD","Kyiv, Ukraine",0.153,0.0,0,140,288,0,1,17,7.294117647058823
